route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
4,10_8,1582783716-10,GARCIA LORCA,4a,0,,
4,10_8,1582783748-10,GARCIA LORCA,4b,1,,
4,10_8,1582783717-10,GARCIA LORCA,4a,0,,
4,10_8,1582783718-10,GARCIA LORCA,4b,1,,
4,10_8,1582783719-10,GARCIA LORCA,4a,0,,
4,10_8,1582783739-10,GARCIA LORCA,4b,1,,
4,10_8,1582783720-10,GARCIA LORCA,4a,0,,
4,10_8,1582783721-10,GARCIA LORCA,4b,1,,
4,10_8,1582783749-10,GARCIA LORCA,4a,0,,
4,10_8,1582783750-10,GARCIA LORCA,4b,1,,
4,10_8,1582783751-10,GARCIA LORCA,4a,0,,
4,10_8,1582783752-10,GARCIA LORCA,4b,1,,
4,10_8,1582783753-10,GARCIA LORCA,4a,0,,
4,10_8,1582783754-10,GARCIA LORCA,4b,1,,
4,10_8,1582783756-10,GARCIA LORCA,4a,0,,
4,10_8,1582783755-10,GARCIA LORCA,4b,1,,
4,10_8,1582783757-10,GARCIA LORCA,4a,0,,
4,10_8,1582783758-10,GARCIA LORCA,4b,1,,
4,10_8,1582783759-10,GARCIA LORCA,4a,0,,
4,10_8,1582783760-10,GARCIA LORCA,4b,1,,
4,10_8,1582783761-10,GARCIA LORCA,4a,0,,
4,10_8,1582783762-10,GARE SAINT-ROCH,4b,1,,
4,10_8,1582783763-10,GARE SAINT-ROCH,4a,0,,
4,10_8,1582783764-10,GARE SAINT-ROCH,4b,1,,
52,10_4,1582796936-10,ODYSSEUM,52,1,,
52,10_4,1582796856-10,GRAMMONT,52,0,,
52,10_4,1582796857-10,ODYSSEUM,52,1,,
52,10_4,1582796859-10,GRAMMONT,52,0,,
52,10_4,1582796858-10,ODYSSEUM,52,1,,
52,10_4,1582796860-10,GRAMMONT,52,0,,
52,10_4,1582796861-10,ODYSSEUM,52,1,,
52,10_4,1582796862-10,GRAMMONT,52,0,,
52,10_4,1582796863-10,ODYSSEUM,52,1,,
52,10_4,1582796864-10,GRAMMONT,52,0,,
52,10_4,1582796865-10,ODYSSEUM,52,1,,
52,10_4,1582796866-10,GRAMMONT,52,0,,
52,10_4,1582796867-10,ODYSSEUM,52,1,,
52,10_4,1582796868-10,GRAMMONT,52,0,,
52,10_4,1582796869-10,ODYSSEUM,52,1,,
52,10_4,1582796870-10,GRAMMONT,52,0,,
52,10_4,1582796871-10,ODYSSEUM,52,1,,
52,10_4,1582796872-10,GRAMMONT,52,0,,
52,10_4,1582796873-10,ODYSSEUM,52,1,,
52,10_4,1582796875-10,GRAMMONT,52,0,,
52,10_4,1582796874-10,ODYSSEUM,52,1,,
52,10_4,1582796876-10,GRAMMONT,52,0,,
52,10_4,1582796877-10,ODYSSEUM,52,1,,
52,10_4,1582796878-10,GRAMMONT,52,0,,
52,10_4,1582796879-10,ODYSSEUM,52,1,,
52,10_4,1582796880-10,GRAMMONT,52,0,,
52,10_4,1582796881-10,ODYSSEUM,52,1,,
52,10_4,1582796882-10,GRAMMONT,52,0,,
52,10_4,1582796883-10,ODYSSEUM,52,1,,
52,10_4,1582796884-10,GRAMMONT,52,0,,
52,10_4,1582796885-10,ODYSSEUM,52,1,,
52,10_4,1582796886-10,GRAMMONT,52,0,,
52,10_4,1582796887-10,ODYSSEUM,52,1,,
52,10_4,1582796888-10,GRAMMONT,52,0,,
52,10_4,1582796889-10,ODYSSEUM,52,1,,
52,10_4,1582796891-10,GRAMMONT,52,0,,
52,10_4,1582796890-10,ODYSSEUM,52,1,,
52,10_4,1582796892-10,GRAMMONT,52,0,,
52,10_4,1582796893-10,ODYSSEUM,52,1,,
52,10_4,1582796894-10,GRAMMONT,52,0,,
52,10_4,1582796895-10,ODYSSEUM,52,1,,
52,10_4,1582796896-10,GRAMMONT,52,0,,
52,10_4,1582796897-10,ODYSSEUM,52,1,,
52,10_4,1582796898-10,GRAMMONT,52,0,,
52,10_4,1582796899-10,ODYSSEUM,52,1,,
52,10_4,1582796900-10,GRAMMONT,52,0,,
