stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
2265,21230,Gare de Baillargues,"gare baillargues",43.653378,4.007888,,,1
2266,27228,Les Carrières,"les carrières",43.701359,4.00803,,,1
2267,27128,Les Carrières,"les carrières",43.701229,4.008175,,,1
2268,36166,Collège Pierre Mendès France,"collège",43.667213,3.911978,,,1
2269,11230,Gare Saint-Roch,"gare saint roch",43.605,3.879149,,,1
2270,36266,Collège Pierre Mendès France,"collège",43.667213,3.911978,,,1
2273,23157,Baumes,"BAUMES",43.657696,3.863584,,,1
2274,23257,Baumes,"BAUMES",43.657154,3.863693,,,1
2275,23156,Moulin Boudet,"moulin boudé",43.654823,3.864622,,,1
2276,23256,Moulin Boudet,"moulin boudé",43.654335,3.86477,,,1
2278,31118,Villemagne,"villeu magne",43.688625,3.99948,,,1
2279,31119,Collège Les Pins,"collège, les pins",43.684193,3.990729,,,1
2280,31120,Aqueduc,"aqueu duc",43.679245,3.986113,,,1
2282,31218,Villemagne,"villeu magne",43.688526,3.999589,,,1
2283,31219,Collège Les Pins,"collège, les pins",43.684193,3.990729,,,1
2284,31220,Aqueduc,"aqueu duc",43.679199,3.986161,,,1
2285,31221,Centre,"centre",43.675343,3.983213,,,1
2286,27132,La Boissière,"la boissière",43.691059,3.928904,,,1
2287,27232,La Boissière,"la boissière",43.691471,3.929225,,,1
2288,23258,Roularel,"ROULAREL",43.662037,3.862895,,,1
2289,23158,Roularel,"ROULAREL",43.662468,3.862932,,,1
2290,20244,Saint-Jean de Védas Centre,"saint jean de védass- CENTRE",43.574665,3.830752,,,1
2291,27133,Les Arbousiers,"les arbouziers",43.71492,3.998351,,,1
2292,22140,Lycée Frédéric Bazille,"Lycée, frédéric, basille",43.645451,3.862291,,,1
2293,22141,Vincent Auriol,"vincent, auriol",43.648369,3.864573,,,1
2294,35223,Centre,"centre",43.675014,3.982857,,,1
2295,31122,Centre,"centre",43.675014,3.982857,,,1
2296,6133,Albert 1er - Cathédrale,"albert premié, cathaidrale",43.615562,3.873049,,,1
2297,15259,Bugarel,"bu garel",43.592407,3.852996,,,1
2298,15117,Bugarel,"Bugarel",43.592358,3.852834,,,1
2299,15260,Collège Marcel Pagnol,"Collège Marcel Pagnol",43.596207,3.847519,,,2
2300,15116,Collège Marcel Pagnol,"collège, marcel pagnol",43.596298,3.845443,,,2
2302,11234,Ernest Michel,"Ernest,Michel",43.599617,3.873363,,,1
2303,11134,Ernest Michel,"Ernest, Michel",43.599545,3.873386,,,1
2304,11233,Berthelot,"berteulot",43.601124,3.869754,,,1
2305,11133,Berthelot,"bertheulot",43.601349,3.869067,,,1
2307,7251,Mourèze,"Moureze",43.607307,3.832175,,,1
2308,7151,Mourèze,"Moureze",43.607403,3.832276,,,1
2309,7252,Alexandre Yersin,"Alexandre Yersin",43.604118,3.832487,,,1
2310,7152,Alexandre Yersin,"Alexandre Yersin",43.60379,3.832875,,,1
2314,6134,Doria,"DORIA",43.61237,3.868027,,,1
2315,42382,Les Saliniers,"LES SALINIERS",43.604195,3.74456,,,1
2316,42482,Les Saliniers,"LES SALINIERS",43.604172,3.74472,,,1
2319,8135,Garcia Lorca,"garcia lorca",43.59174,3.889873,,,1
2320,8225,Garcia Lorca,"garcia lorca",43.591465,3.889766,,,1
2321,92211,Mail des Abbés,"Mail des Abbés",43.619625,3.883739,,,1
2322,92109,Corum,"Corum",43.615711,3.883979,,,1
2323,92209,Corum,"Corum",43.614929,3.883401,,,1
2324,92210,Beaux-Arts,"Beaux-Arts",43.617615,3.883573,,,1
2325,8226,Centrayrargues,"centrayrargues",43.5966,3.880876,,,1
2326,23,Gare Saint-Roch (Pont de Sète),"gare saint roch",43.60405,3.878418,,,1
2327,24,Gare Saint-Roch (Pont de Sète),"gare saint roch",43.604115,3.878247,,,1
2329,94110,Hôtel de Ville,"hotel de ville",43.599857,3.894262,,,1
2330,94111,Port Marianne,"Port Marianne",43.603065,3.900597,,,1
2333,91306,Pablo Picasso,"Pablo Picasso",43.598843,3.903054,,,1
2334,96101,Cheng-Du,"CHENGDU",43.59306,3.843799,,,1
2335,96102,XV de France,"quinze, de france",43.591522,3.844934,,,1
2339,95101,Universités Sciences et Lettres,"Université, des sciences et lettres",43.629234,3.861004,,,1
2340,95102,Boutonnet,"Boutonnet",43.623184,3.869146,,,1
2341,95103,Place Albert 1er-Saint-Charles,"place albert premié!saint charles",43.616688,3.872783,,,1
2342,95201,Stade Philippidès,"stade, philipidesse",43.61874,3.86941,,,1
2343,95202,Boutonnet,"Boutonnet",43.623184,3.869146,,,1
2344,95203,Universités Sciences et Lettres,"Université, des sciences et lettres",43.629276,3.861141,,,1
2347,42232,Pompignane,"Pompignane",43.612713,3.894947,,,1
2348,42136,Pompignane,"Pompignane",43.612453,3.894927,,,1
2349,21131,Marbrerie,"BIGOSS",43.653904,3.955491,,,1
2350,21231,Marbrerie,"BIGOSS",43.653816,3.955996,,,1
2353,11136,Claret,"claret",43.601246,3.867642,,,1
2354,11232,Claret,"claret",43.600269,3.867863,,,1
2355,91203,Stade Philippidès,"stade, philipidesse",43.617397,3.869114,,,1
2356,91102,Universités Sciences et Lettres,"universités, des sciences et lettres",43.628967,3.861393,,,1
2357,91103,Occitanie,"Occitanie",43.634617,3.848337,,,1
2358,91201,Universités Sciences et Lettres,"universités, des sciences et lettres",43.629276,3.861141,,,1
2359,91104,Hopital Lapeyronie,"hopital lapeyroni",43.631741,3.852692,,,1
2360,91202,Hopital Lapeyronie,"hopital lapeyroni",43.631966,3.853354,,,1
2361,20246,Coustaude,"coustaude",43.591747,3.835206,,,1
2363,9255,Becquerel,"Becquerel",43.617737,3.913657,,,1
2368,92102,Victoire 2,"Victoire 2",43.575073,3.848778,,,1
2369,92204,Victoire 2,"victoire, 2",43.574688,3.849361,,,1
2372,53105,Pont de Guerre,"pon de Guerre",43.573933,3.867281,,,1
2373,53205,Pont de Guerre,"pon de Guerre",43.57394,3.867232,,,1
2374,53106,Georges Onslow,"georges, onnslo",43.572556,3.861582,,,1
2375,53206,Georges Onslow,"georges, onnslo",43.572712,3.861339,,,1
2376,53107,Raymond Recouly,"raymond recouly",43.57576,3.859973,,,1
2377,53207,Raymond Recouly,"raymond recouly",43.575893,3.860039,,,1
2378,53108,Ettore Bugatti,"ettoré bu gatti",43.577877,3.868685,,,1
2379,53208,Ettore Bugatti,"ettoré bu gatti",43.577866,3.868611,,,1
2380,32122,Maison d'Arrêt,"maison, d'arret",43.546432,3.828791,,,1
2381,32123,Charles Martel,"charles martell",43.550549,3.835288,,,2
2382,32223,Charles Martel,"charles martell",43.550594,3.835264,,,1
2385,7166,Portalière des Masques,"Portalière des Masques",43.617245,3.866425,,,1
2386,7243,Doria,"DORIA",43.612988,3.867586,,,1
2391,95104,Liberté Gayraud,"Liberté-gay ro !",43.608559,3.861491,,,1
2392,95204,Liberté Gayraud,"Liberté-gay ro !",43.608528,3.861825,,,1
2393,95205,Craponne,"Craponne",43.605495,3.866519,,,1
2394,95105,Barbusse,"Barbuss",43.603901,3.864831,,,1
2395,38125,MARRONNIERS,"Marronié",43.584766,3.802202,,,1
2396,38238,MARRONNIERS,"Marronié",43.584656,3.802237,,,1
2398,19103,Uppsala,"Uppsala",43.629681,3.822365,,,1
2399,19203,Uppsala,"Uppsala",43.629787,3.822479,,,1
2400,19204,Oxford,"Oxford",43.627682,3.822103,,,1
2401,19104,Oxford,"oxford",43.627735,3.821893,,,1
2402,19205,Collège les Garrigues,"collège, les garrigues",43.643158,3.817046,,,1
2403,19105,Collège les Garrigues,"collège, les garrigues",43.642998,3.816336,,,1
2404,22170,Fesquet,"Fesquet",43.653137,3.881267,,,1
2405,61101,Place de l'Europe,"Place de l'Europe",43.60701,3.892725,,,1
2406,61201,Place de l'Europe,"place de l'europe",43.606983,3.893256,,,1
2407,61102,Pont Juvénal,"pont j'uvénal",43.606167,3.89817,,,1
2408,61202,Pont Juvénal,"pont j'uvénal",43.606293,3.898013,,,1
2409,61103,Paul Painlevé,"Paul, pinlevé",43.610004,3.899562,,,1
2410,61203,Paul Painlevé,"Paul, pinlevé",43.610008,3.899314,,,1
2411,61104,Pinville,"Pin ville",43.614006,3.906328,,,1
